Date,Tonnage (t),Berthings
2010-01-01,0.2464,12
2010-02-01,1.9637,54
2010-03-01,4.1036,87
2010-04-01,6.1505,128
2010-05-01,5.8104,130
2010-06-01,4.6257,91
2010-07-01,3.4724999999999997,71
2010-08-01,2.9731,71
2010-09-01,1.7637,42
2010-10-01,0.7845,24
2010-11-01,0.3482,12
2010-12-01,0.24259999999999998,10
2011-01-01,0.27,11
2011-02-01,0.8861,24
2011-03-01,3.6769999999999996,70
2011-04-01,5.6996,109
2011-05-01,5.3451,108
2011-06-01,4.2650999999999994,85
2011-07-01,3.5702999999999996,76
2011-08-01,3.766,74
2011-09-01,2.3291,55
2011-10-01,1.7344,43
2011-11-01,1.8929,44
2011-12-01,1.6127,37
2012-01-01,1.1917,30
2012-02-01,2.6543,58
2012-03-01,5.3599,101
2012-04-01,5.9541,114
2012-05-01,5.5862,105
2012-06-01,4.7821,90
2012-07-01,3.7934,70
2012-08-01,2.5106,53
2012-09-01,1.2923,30
2012-10-01,0.3751,9
2012-11-01,0.1911,8
2012-12-01,0.0676,3
2013-01-01,0.048,2
2013-02-01,2.1225,38
2013-03-01,5.0884,89
2013-04-01,8.2442,145
2013-05-01,7.5066,131
2013-06-01,6.3939,112
2013-07-01,5.2234,95
2013-08-01,3.9198,77
2013-09-01,2.5814,47
2013-10-01,1.2322,26
2013-11-01,0.35009999999999997,10
2013-12-01,0.0891,6
2014-01-01,0.23959999999999998,5
2014-02-01,4.227,74
2014-03-01,7.0694,127
2014-04-01,7.248,130
2014-05-01,6.883400000000001,128
2014-06-01,7.0175,129
2014-07-01,4.8749,90
2014-08-01,3.9964999999999997,73
2014-09-01,1.6361,30
2014-10-01,0.4981,10
2014-11-01,0.2357,7
2014-12-01,0.0519,2
2015-01-01,0.08499999999999999,2
2015-02-01,2.8974,48
2015-03-01,6.73,111
2015-04-01,9.1752,154
2015-05-01,8.125,139
2015-06-01,8.5071,146
2015-07-01,6.438599999999999,115
2015-08-01,4.9681,91
2015-09-01,3.1380999999999997,53
2015-10-01,1.964,37
2015-11-01,1.2471999999999999,24
2015-12-01,0.5094,9
2016-01-01,0.4417,7
2016-02-01,4.006,67
2016-03-01,9.0681,154
2016-04-01,10.4955,181
2016-05-01,8.7482,153
2016-06-01,7.4847,140
2016-07-01,4.7692,98
2016-08-01,2.9742,55
2016-09-01,1.4352,26
2016-10-01,0.6266,13
2016-11-01,0.3452,8
2016-12-01,0.709,17
2017-01-01,1.5646,28
2017-02-01,6.029,102
2017-03-01,9.4537,160
2017-04-01,10.3675,186
2017-05-01,9.1394,163
2017-06-01,8.478,155
2017-07-01,6.242999999999999,117
2017-08-01,5.663099999999999,99
2017-09-01,3.238,60
2017-10-01,2.9307,52
2017-11-01,2.1479,38
2017-12-01,2.1944,39
2018-01-01,1.5303000000000002,30
2018-02-01,5.4441,88
2018-03-01,10.7502,189
2018-04-01,11.6055,193
2018-05-01,10.624,178
2018-06-01,9.975999999999999,179
2018-07-01,8.2784,152
2018-08-01,7.0465,125
2018-09-01,5.788200000000001,96
2018-10-01,4.5061,76
2018-11-01,5.071,84
2018-12-01,2.8594,53
2019-01-01,2.3878999999999997,43
2019-02-01,6.7559,112
2019-03-01,9.617700000000001,168
2019-04-01,9.2149,154
2019-05-01,8.9,157
2019-06-01,8.7292,150
2019-07-01,6.075,103
2019-08-01,5.1634,86
2019-09-01,4.3397,73
2019-10-01,5.0137,85
2019-11-01,4.1986,71
2019-12-01,2.6287,44
2020-01-01,1.6212,31
2020-02-01,6.7974,111
2020-03-01,13.2188,212
2020-04-01,14.039800000000001,232
2020-05-01,13.6824,234
2020-06-01,11.0937,193
2020-07-01,7.7248,129
2020-08-01,5.5672,93
2020-09-01,4.0621,72
2020-10-01,2.0517,33
2020-11-01,0.753,12
2020-12-01,0.24309999999999998,6
2021-01-01,0.061799999999999994,3
2021-02-01,5.6956999999999995,98
2021-03-01,14.809299999999999,242
2021-04-01,15.133799999999999,253
2021-05-01,14.3247,243
2021-06-01,10.0204,179
2021-07-01,7.9712000000000005,141
2021-08-01,5.7892,104
2021-09-01,4.7684,82
2021-10-01,3.0071,57
2021-11-01,2.1005000000000003,40
2021-12-01,2.5334000000000003,44
2022-01-01,2.2407,41
2022-02-01,8.926499999999999,151
2022-03-01,12.2828,209
2022-04-01,11.5204,192
2022-05-01,10.3094,173
2022-06-01,10.093900000000001,168
2022-07-01,6.8633,128
2022-08-01,5.1217,91
2022-09-01,3.5287,60
2022-10-01,3.6245,62
2022-11-01,1.9905000000000002,35
2022-12-01,1.5578,29
2023-01-01,0.8567,17
2023-02-01,7.198200000000001,121
2023-03-01,14.0291,232
2023-04-01,13.8153,229
2023-05-01,14.2818,259
2023-06-01,13.8453,242
2023-07-01,8.6553,149
2023-08-01,7.3349,122
2023-09-01,5.5919,92
2023-10-01,5.923100000000001,96
2023-11-01,4.5313,72
2023-12-01,3.9087,64
2024-01-01,2.4303,42
2024-02-01,9.395999999999999,156
2024-03-01,13.544300000000002,233
2024-04-01,13.472299999999999,227
2024-05-01,13.387899999999998,224
2024-06-01,13.910200000000001,227
2024-07-01,9.793099999999999,160
2024-08-01,7.9746999999999995,136
2024-09-01,5.1979,94
2024-10-01,4.4963,77
2024-11-01,2.2364,34
2024-12-01,1.4618,26
